pkey,created_on,last_updated_on,version,category,competition_id,country,end_date,match_format,name,no_of_matches,no_of_rounds,no_of_teams,season,short_name,src_id,start_date
47,"2021-02-14 23:59:31","2021-02-14 23:59:31",1,international,T20I,int,2018-01-28,mixed,"Pakistan tour of New Zealand",9,2,3,2017/18,ptonz-1718,106501,2018-01-03
48,"2021-02-14 23:59:39","2021-02-14 23:59:39",1,international,T20I,int,2021-01-07,mixed,"Pakistan tour of New Zealand",5,2,2,2020,ptonz-202021,116962,2020-12-18
49,"2021-02-14 23:59:47","2021-02-14 23:59:47",1,international,T20I,int,2019-02-06,mixed,"Pakistan tour of South Africa",11,3,3,2018/19,ptosa-1819,111307,2018-12-19
50,"2021-02-14 23:59:54","2021-02-14 23:59:54",1,international,T20I,int,2017-10-29,t20i,"Pakistan tour of United Arab Emirates",10,3,2,2017/18,ptouae-1718,106486,2017-09-28
51,"2021-02-15 00:00:09","2021-02-15 00:00:09",1,international,T20I,int,2018-11-17,mixed,"South Africa tour of Australia",4,2,3,2018/19,satoa-1819,111311,2018-10-31
52,"2021-02-15 00:00:14","2021-02-15 00:00:14",1,international,T20I,int,2019-10-23,mixed,"South Africa tour of India",6,2,2,2019,satoi-201920,113479,2019-09-15
53,"2021-02-15 00:00:22","2021-02-15 00:00:22",1,international,T20I,int,2021-02-14,mixed,"South Africa tour of Pakistan",5,2,2,2021,satop-202021,117676,2021-01-26
54,"2021-02-15 00:00:40","2021-02-15 00:00:40",1,international,T20I,int,2018-08-14,mixed,"South Africa Tour of Sri Lanka",10,3,3,2018,satosl-18,111270,2018-07-07
55,"2021-02-15 00:00:46","2021-02-15 00:00:46",1,international,T20I,int,2019-11-01,t20i,"Sri Lanka tour of Australia",4,1,3,2019,sltoa-201920,113483,2019-10-27
56,"2021-02-15 00:01:04","2021-02-15 00:01:04",1,international,T20I,int,2018-02-18,mixed,"Sri Lanka Tour of Bangladesh",9,2,3,2017/18,sltob-1718,108887,2018-01-17
57,"2021-02-15 00:01:11","2021-02-15 00:01:11",1,international,T20I,int,2017-12-24,mixed,"Sri Lanka tour of India",10,3,3,2017/18,sltoi-1718,108474,2017-11-16
58,"2021-02-15 00:01:18","2021-02-15 00:01:18",1,international,T20I,int,2020-01-10,t20i,"Sri Lanka tour of India",3,1,2,2020,sltoi-201920,114112,2020-01-05
59,"2021-02-15 00:01:24","2021-02-15 00:01:24",1,international,T20I,int,2019-01-11,mixed,"Sri Lanka tour of New Zealand",6,3,2,2018/19,sltonz-1819,111612,2018-12-15
60,"2021-02-15 00:01:26","2021-02-15 00:01:26",1,international,T20I,int,2019-10-09,mixed,"Sri Lanka tour of Pakistan",6,2,2,2019,sltop-201920,113687,2019-09-27
